quality4	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	6	7	8	9	30
2	27	38	39	44	148
3	17	25	55	80	177
4	15	33	43	74	165
All	65	103	145	207	520
