quality5	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	5	4	4	4	17
2	19	30	25	29	103
3	11	16	26	40	93
4	5	17	17	19	58
All	40	67	72	92	271
