quality1	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	109	144	113	75	441
2	35	66	77	63	241
3	14	28	89	111	242
4	3	15	40	146	204
All	161	253	319	395	1128
