quality2	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	64	64	53	53	234
2	34	40	55	57	186
3	18	20	58	75	171
4	14	25	48	81	168
All	130	149	214	266	759
