quality5	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	5	3	3	4	15
2	19	22	23	23	87
3	9	17	28	38	92
4	6	15	16	16	53
All	39	57	70	81	247
