quality4	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	7	11	16	5	39
2	21	42	51	59	173
3	9	22	70	116	217
4	3	13	43	139	198
All	40	88	180	319	627
