quality1	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	55	77	57	50	239
2	22	46	60	53	181
3	8	22	63	87	180
4	1	11	35	117	164
All	86	156	215	307	764
