quality2	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	45	53	64	40	202
2	30	50	57	55	192
3	9	21	70	115	215
4	2	11	41	156	210
All	86	135	232	366	819
