stat	quality2	quality3	quality4	inc_quartile2	inc_quartile3	inc_quartile4	cons
coeff	3147.984631573349	2965.517820172383	9666.715960177846	14.03102847351876	3366.359324981216	7773.311529316179	-672.2819470907998
se	908.2692575615305	986.3145863298239	1672.907272030988	640.0433704067286	857.7563510437874	1153.508714509709	491.0594926546877
