pctile	afqt_pctile
p1	1373
p5	1373
p10	1373
p15	1373
p20	1373
p25	1373
p30	1373
p35	1373
p40	1373
p45	1373
p50	1373
p55	1373
p60	1373
p65	1373
p70	1373
p75	1373
p80	1373
p85	1373
p90	1373
p95	1373
p99	1373
