pctile	earlytranscreds
p1	1582
p5	1582
p10	1582
p15	1582
p20	1582
p25	1582
p30	1582
p35	1582
p40	1582
p45	1582
p50	1582
p55	1582
p60	1582
p65	1582
p70	1582
p75	1582
p80	1582
p85	1582
p90	1582
p95	1582
p99	1582
