quality1	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	142	133	116	107	498
2	53	70	76	72	271
3	36	37	73	99	245
4	21	40	59	94	214
All	252	280	324	372	1228
