inc_quartile	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	61	57	45	46	209
2	35	68	66	75	244
3	27	67	96	107	297
4	25	48	109	160	342
All	148	240	316	388	1092
