pctile	afqt_pctile
p1	4
p5	14
p10	22
p15	29
p20	36
p25	42
p30	46
p35	51
p40	57
p45	61
p50	65
p55	70
p60	73
p65	77
p70	81
p75	84
p80	88
p85	91
p90	94
p95	97
p99	100
