inc_quartile	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	.036818489	.039246619	.036765054	.033513267	.14634342
2	.02781992	.060282972	.060327154	.067278996	.21570905
3	.027091803	.063685514	.09150359	.10984014	.29212105
4	.020406924	.052525945	.11390496	.15898865	.34582648
All	.11213714	.21574105	.30250075	.36962107	1
