pctile	quality1	quality2	quality3	quality4	qualityALL
p1	3	5	15	20	4
p10	13	24	42	55	22
p15	18	30	48	64	29
p20	22	36	53	70	36
p25	26	40	57	73	42
p30	31	45	62	76	46
p35	34	49	65	79	51
p40	37	53	69	81	57
p45	41	57	71	84	61
p5	8	18	28	45	14
p50	44	60	74	86	65
p55	48	64	77	88	70
p60	53	67	82	90	73
p65	57	71	84	92	77
p70	61	74	85	94	81
p75	65	78	88	95	84
p80	70	82	90	96	88
p85	75	86	93	97	91
p90	81	90	95	99	94
p95	89	93	98	100	97
p99	97	97	100	100	100
