quality6	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	0	0	1956.4198	0	1577.744
2	1086.3218	793.67169	2583.8096	1606.8348	1487.9946
3	6409.8472	0	420.12927	3645.0371	2023.3889
4	2399.4092	2488.8289	1916.8538	1618.8422	2018.5594
All	1873.9857	1326.2135	1434.2365	2358.8999	1799.2655
