quality1	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	990.93433	2249.1282	3496.5344	1946.5022	2302.9771
2	5378.3633	8826.3174	8699.6035	7375.2461	7995.3931
3	6789.2749	4335.1519	10079.782	10846.728	9687.3613
4	11284.134	9471.3408	11080.781	16273.339	14865.385
All	2737.9026	4819.4946	7790.5122	11066.247	8207.8994
