quality4	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	2479.3352	4622.7671	1670.5533	989.0578	2468.241
2	9695.7041	12552.508	10749.641	12237.983	11678.164
3	9194.0156	11835.052	18937.445	16170.898	16420.865
4	6981.8735	11443.664	22988.967	21977.756	21453.795
All	8020.6729	11104.858	16278.343	17814.611	16176.688
