quality4	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	1454.3695	1530.6099	1612.0491	2117.1223	1717.2545
2	1518.4236	1198.6865	933.86285	1291.0897	1191.1118
3	1043.7543	886.42297	991.47058	1040.3673	1006.1961
4	925.7851	960.20331	883.19037	845.81921	883.98926
All	1234.5802	1068.1193	971.19775	1073.9991	1061.2279
