quality2	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	1092.7269	2513.2083	2604.7837	1928.4554	2062.4087
2	7006.7632	3990.2417	10610.549	14626.543	9676.208
3	6709.1138	8311.877	10037.513	10782.771	9869.041
4	8304.0049	8531.1953	15262.964	21010.416	16425.443
All	4623.6748	5095.2236	10155.146	13441.774	9648.1914
