quality3	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	12272.962	12122.989	9743.9238	12329.286	11553.19
2	12961.125	9125.9951	6854.6836	8706.5557	8692.1484
3	7547.459	6742.2603	7403.7847	6537.9868	6945.103
4	5198.1875	6064.2227	4772.52	6372.0923	5814.916
All	9761.3486	8387.3984	6941.4341	7602.9429	7796.7036
