quality1	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	.089363582	.13828087	.16495143	.060008503	.11978704
2	.66144562	.39088354	.49097276	.31400925	.42318174
3	.36220562	.4101204	.45972076	.37082064	.40475807
4	.19961092	.63202566	.34487608	.39724723	.40113911
All	.23522049	.28070396	.35412219	.32302204	.31574994
