quality6	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	0	1040	1989.3167	1720	1791.5454
2	1466.0889	1324.7827	1479.8445	1380.7631	1401.0317
3	856	1389.5483	1277.3883	1471.701	1361.5162
4	1176	1318.625	1290.6248	2037.6617	1543.5884
All	1367.0713	1320.6996	1427.0426	1554.8363	1447.6586
