quality6	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	0	0	2487.1096	0	2005.7159
2	3398.3523	3001.0981	2673.1448	3612.0325	3281.3892
3	0	0	2197.5962	1478.3118	1597.243
4	5000	1441.3588	2516.158	6343.9839	3471.8354
All	3159.0984	1847.5948	2399.6653	3139.3633	2653.5237
