quality3	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	673.19757	1376.6111	828.6322	1844.9293	1348.3564
2	791.39117	3359.3215	6855.7236	7177.8726	5395.9761
3	336.3851	2103.6387	7136.9229	9313.1807	7269.6582
4	3429.5178	5159.1675	6219.8286	18625.943	11878.322
All	1072.8496	3263.3745	6266.6152	11495.828	7420.0098
