quality6	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	0	8.2202835	12.549849	10.899564	11.359898
2	10.569346	10.916298	11.335831	16.909472	13.04892
3	7.3627062	9.2021618	14.317013	8.7433977	10.915086
4	6.7232223	6.9205179	9.0532513	10.718103	9.0298271
All	9.7901182	9.4627743	12.407878	12.098042	11.411442
