quality5	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	0	1394.8329	2178.3787	0	1212.3651
2	8867.9131	14520.476	20110.564	8148.9175	12907.261
3	20241.049	8317.3408	20185.529	11441.25	14639.592
4	12391.463	13661.469	13612.376	12123.534	12754.688
All	13359.454	10973.793	17725.832	10289.785	13004.797
