quality2	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	656.56268	1353.49	667.32275	339.9852	782.4234
2	6237.4839	2399.708	7330.1489	12873.573	7692.5474
3	7754.6118	4842.6372	5036.9277	2779.7834	4238.9858
4	7189.2886	4788.9194	6294.0972	4435.7456	5270.0732
All	4452.6616	2985.3826	5053.3291	4867.645	4489.9194
