quality3	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	2161.7986	549.4624	841.50031	2198.916	1440.2155
2	476.37549	7398.3281	5715.1431	4621.1885	5619.7871
3	1774.0939	2759.1423	10638.151	7903.6831	8273.6611
4	583.39917	10923.126	9857.8584	13284.931	12251.906
All	1710.9354	5670.1768	7756.9634	9060.6387	8029.9795
