quality3	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	.18941218	.22151349	.13290213	0	.13411769
2	.65499151	.51091969	.5939967	.46008697	.54436606
3	.76900196	.66159928	.73498303	.35250923	.55783302
4	.75223267	.63994628	.65210736	.45852262	.5727306
All	.60222268	.53632087	.60460442	.3838594	.50688261
