quality4	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	1332.1904	1502.2272	2645.9365	2189.1953	1979.3016
2	9382.252	8861.8271	16674.375	14026.578	12884.109
3	15124.675	15594.794	16262.9	16259.67	16077.485
4	22605.592	22158.031	19814.057	22654.605	21803.434
All	13885.638	14999.552	16912.92	17464.545	16483.951
