quality4	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	7.3009109	9.8833122	8.5876284	10.216045	9.081481
2	9.4787903	8.0448523	7.3526421	9.0857153	8.3839216
3	8.1467848	7.4592972	7.9297209	8.0790796	7.9667444
4	7.4499083	8.4379673	7.6169329	9.3796701	8.5888872
All	8.3182249	8.2191172	7.7113547	8.8500643	8.3493509
