quality3	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	11154.777	12095.677	11635.061	11288.732	11602.519
2	6555.3438	7978.1372	8449.8955	8451.1016	8192.0693
3	9289.0273	7423.7656	6711.4194	6622.5957	6837.8252
4	2091.1697	6291.6333	6757.3457	5465.9033	5713.7759
All	8835.3828	8793.2227	8125.2207	6733.3501	7576.0654
