quality4	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	227.6667	578.14087	175.85825	0	208.90625
2	2273.5547	2605.9788	5177.7964	2892.0591	3397.2507
3	4507.3706	3942.7126	4270.6294	3467.783	3872.8123
4	5420.499	5356.0879	5611.9175	3275.8589	4489.2764
All	3586.3215	3830.2688	4746.0244	3111.7578	3763.0244
