quality4	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	607.76703	7.3870001	128.24896	0	129.64867
2	5267.5659	3919.834	4335.4165	3378.5693	4042.6091
3	8856.6963	6574.2471	4997.9863	3825.9368	5002.9746
4	13947.825	11134.197	7233.8857	4257.2295	7226.3301
All	8262.9316	7009.542	5340.3403	3696.1699	5245.2266
