inc_quartile	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	.10001469	.059797671	.042456463	.031143678	.23341249
2	.066645235	.073749825	.062660336	.051185988	.25424138
3	.042379968	.063947737	.074080542	.076792642	.2572009
4	.029389072	.053182639	.07523448	.097339042	.25514522
All	.23842897	.25067788	.25443181	.25646135	1
