inc_quartile	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	.21637349	.37438369	.52174932	.71002072	.3782663
2	.23752207	.41970524	.58970684	.79166704	.48873392
3	.29973456	.53675711	.72257978	.80939108	.63262427
4	.42404878	.56936306	.80873251	.94071865	.76488143
All	.26270038	.47050461	.68181932	.84363139	.57041585
