quality6	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	0	0	8.6775742	0	6.9908447
2	8.5128708	10.069821	10.748087	9.6560555	9.8318729
3	0	13.368721	11.092434	9.6933928	10.283585
4	0	8.3895121	8.0689116	11.894533	8.9984751
All	7.7654514	9.5506783	9.6986456	9.955657	9.592432
