quality1	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	4.5686445	5.2532897	7.3264008	9.8311224	6.9881001
2	5.1174898	8.1926126	9.5722828	10.899759	9.5076227
3	4.5810537	7.6437049	8.4759588	10.398359	9.5590677
4	4.3552666	2.9928191	13.659712	15.373285	14.71276
All	4.6525693	6.4470854	9.5162516	12.709578	10.498426
