pctile	quality1	quality2	quality3	quality4	qualityALL
p1	3	5	16	23	4
p10	16	24	40	56	24
p15	19	30	51	69	31
p20	24	37	56	71	38
p25	29	41	60	74	44
p30	33	46	63	77	49
p35	37	49	67	79	55
p40	41	53	71	81	60
p45	45	58	73	83	65
p5	9	19	27	47	17
p50	49	60	76	86	69
p55	53	65	80	88	72
p60	59	70	83	90	76
p65	63	73	85	92	80
p70	67	77	87	94	83
p75	71	82	89	95	86
p80	75	85	91	96	89
p85	81	88	93	97	92
p90	86	91	95	99	95
p95	91	94	98	100	98
p99	98	97	99	100	100
