inc_quartile	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	.80257779	.65538251	.37224311	.25955454	.50377595
2	.69017053	.57398999	.4337976	.32614675	.46391004
3	.57948911	.51510721	.36307183	.142639	.32581678
4	.64567977	.47002038	.31723994	.1629993	.28491148
All	.69922209	.54660535	.36187491	.1997944	.3696889
