inc_quartile	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	.099545412	.17577569	.23842305	.14622578	.16457677
2	.22220494	.26900983	.21214628	.24331141	.23945192
3	.32783946	.31479776	.23688665	.15198116	.22723334
4	.16588597	.24831469	.227734	.10918023	.16940799
All	.18676597	.2612088	.22877835	.15075481	.20033653
