inc_quartile	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	0	.048661601	.11623558	.28855783	.12489944
2	.045686148	.086841829	.20598701	.2185498	.15982337
3	.015854221	.019914383	.07664191	.42596	.19450317
4	0	.11653456	.16274612	.40742299	.26417136
All	.014178732	.0672516	.13878775	.3626323	.20008469
