quality1	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	1.7084557	1.6594733	3.6752284	5.0930691	2.9219642
2	2.3254316	4.5823336	5.1627159	8.6319132	5.8003001
3	2.0902448	3.1722195	4.6588421	8.4449806	6.3349385
4	3.4795387	1.2180583	10.697893	11.968457	10.961637
All	1.8996289	2.5678341	5.2814889	9.2086601	5.9534998
