inc_quartile	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	.035353597	.036307942	.037022252	.045854289	.15453808
2	.024738073	.060126919	.06013675	.075529173	.22053091
3	.018877231	.060704537	.093228258	.10783319	.28064322
4	.02184907	.048102789	.10800131	.16633461	.34428778
All	.10081797	.20524219	.29838857	.39555126	1
