inc_quartile	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	.097876817	.12018019	.27309826	.30566183	.20674782
2	.041938383	.070158377	.14806913	.21199204	.13681465
3	.0768172	.15018065	.3233996	.27941984	.25244671
4	.18843424	.16513038	.29227996	.3203975	.28150913
All	.099833205	.12493426	.27055898	.28681847	.22988988
